ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
12068,Arthur Charles Blake,M,24,NA,NA,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Silver
16616,"Thomas Edmund ""Tom"" Burke",M,21,183,66,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,100M Men,Gold
16616,"Thomas Edmund ""Tom"" Burke",M,21,183,66,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Gold
49185,Fritz Hofmann,M,24,167,56,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,100M Men,Silver
21795,Ellery Harding Clark,M,22,180,NA,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Long Jump,Gold
66362,"Francis Adonijah ""Frank"" Lane",M,21,170,69,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,100M Men,Bronze
22700,James Brendan Bennet Connolly,M,27,175,72,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Long Jump,Bronze
22700,James Brendan Bennet Connolly,M,27,175,72,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Triple Jump,Gold
24423,"Thomas Pelham ""Tom"" Curtis",M,23,176,66,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold
25072,Evangelos Damaskos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Bronze
117571,Alajos (Aljoz) Szokoly (-Szokol),M,24,NA,NA,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,100M Men,Bronze
25184,Nndor Dni,M,24,NA,NA,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,800M Men,Silver
35698,"Edwin Harold ""Teddy"" Flack",M,22,NA,NA,Australia,AUS,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Gold
35698,"Edwin Harold ""Teddy"" Flack",M,22,NA,NA,Australia,AUS,1896 Summer,1896,Summer,Athina,Athletics,800M Men,Gold
38860,"Robert ""Bob"" Garrett",M,20,188,81,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Long Jump,Silver
38860,"Robert ""Bob"" Garrett",M,20,188,81,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Shot Put,Gold
41160,Dimitrios P. Golemis,M,21,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,800M Men,Bronze
40851,Charles Henry Stuart Gmelin,M,23,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Bronze
38860,"Robert ""Bob"" Garrett",M,20,188,81,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Discus Throw Men,Gold
42069,Grantley Thomas Smart Goulding,M,22,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Silver
42102,Miltiadis Gouskos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Shot Put,Silver
91355,Panagiotis Paraskevopoulos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Discus Throw Men,Silver
50399,"William Welles ""Bill"" Hoyt",M,20,NA,NA,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Gold
53542,Herbert Brotherson Jamison,M,20,173,69,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Silver
58546,Gyula Kellner,M,24,NA,NA,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Bronze
126142,Sotirios Versis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Discus Throw Men,Bronze
68911,Albin Georges Lermusiaux,M,21,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Bronze
71674,"Spyridon ""Spyros"" Louis",M,23,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Gold
91250,Georgios Saranti Papasideris,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Shot Put,Bronze
21795,Ellery Harding Clark,M,22,180,NA,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,High Jump Men,Gold
93606,Ioannis Persakis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Triple Jump,Bronze
22700,James Brendan Bennet Connolly,M,27,175,72,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,High Jump Men,Silver
119585,Ioannis Theodoropoulos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Bronze
122526,Pierre Alexandre Tuffri,M,19,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Triple Jump,Silver
122937,Albert Clinton Tyler,M,24,NA,NA,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Silver
125390,Kharilaos Vasilakos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Silver
38860,"Robert ""Bob"" Garrett",M,20,188,81,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,High Jump Men,Silver
3703,Carl Albert Andersen,M,23,NA,NA,Norway,NOR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Pole Vault,Bronze
53970,Frank Washington Jarvis,M,21,167,58,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,100M Men,Gold
103047,"Stanley Rupert ""Stan"" Rowley",M,23,178,71,Australia,AUS,1900 Summer,1900,Summer,Paris,Athletics,100M Men,Bronze
8862,"Irving Knott ""Irv"" Baxter",M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing High Jump,Silver
8862,"Irving Knott ""Irv"" Baxter",M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Pole Vault,Gold
8862,"Irving Knott ""Irv"" Baxter",M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing Long Jump,Silver
8862,"Irving Knott ""Irv"" Baxter",M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing Triple Jump,Silver
10161,Charles Bennett,M,29,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Gold
10161,Charles Bennett,M,29,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",Silver
10161,Charles Bennett,M,29,NA,NA,Amateur Athletic Association,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
14802,John Bray,M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Bronze
18879,Andr Castanet,M,NA,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
19658,mile Julien Champion,M,20,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,Silver
19661,Albert Alphonse Champoudry,M,20,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
19973,Jean Chastani,M,24,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",Bronze
19973,Jean Chastani,M,24,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
22389,Meredith Bright Colket,M,21,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Pole Vault,Silver
22700,James Brendan Bennet Connolly,M,31,175,72,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Triple Jump,Silver
119439,Walter Beardsley Tewksbury,M,24,183,64,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,100M Men,Silver
27384,Henry Lon mile Deloge,M,25,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Silver
27384,Henry Lon mile Deloge,M,25,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
33557,"Raymond Clarence ""Ray"" Ewry",M,26,185,79,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing High Jump,Gold
33557,"Raymond Clarence ""Ray"" Ewry",M,26,185,79,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing Long Jump,Gold
33557,"Raymond Clarence ""Ray"" Ewry",M,26,185,79,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing Triple Jump,Gold
34204,Ernst Robert Efraim Fast,M,19,NA,NA,Sweden,SWE,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,Bronze
35717,John Joseph Flanagan,M,32,178,95,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Hammer Throw,Gold
38860,"Robert ""Bob"" Garrett",M,24,188,81,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing Triple Jump,Bronze
38860,"Robert ""Bob"" Garrett",M,24,188,81,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Shot Put,Bronze
23740,John Francis Cregan,M,22,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,800M Men,Silver
45000,"David Connolly ""Dave"" Hall",M,25,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,800M Men,Bronze
46029,Thomas Truxtun Hare,M,21,185,90,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Hammer Throw,Silver
49363,"William Joseph ""Bill"" Holland",M,26,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Silver
122978,Alfred Ernest Tysoe,M,26,175,70,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,800M Men,Gold
8716,Rudolf (-Rezs) Bauer,M,21,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Discus Throw Men,Gold
63659,"Alvin Christian ""Al"" Kraenzlein",M,23,183,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,Gold
63659,"Alvin Christian ""Al"" Kraenzlein",M,23,183,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,Gold
63659,"Alvin Christian ""Al"" Kraenzlein",M,23,183,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,Gold
63659,"Alvin Christian ""Al"" Kraenzlein",M,23,183,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Long Jump,Gold
53583,Frantiek Janda-Suk,M,22,NA,NA,Bohemia,BOH,1900 Summer,1900,Summer,Paris,Athletics,Discus Throw Men,Silver
67571,"Patrick Joseph ""Pat"" Leahy",M,22,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Long Jump,Bronze
71204,"Maxwell Warburn ""Maxey"" Long",M,21,182,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Gold
77406,"Josiah Calvin McCracken, Jr.",M,26,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Shot Put,Silver
